NombreProducto,FechaMovimiento,MontoBase,year
POLLO SIN MENUDENCIA H-C,2018-11-21,73.87,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,23.407,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,24.564,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,21.271,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,42.364,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,25.899,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,26.077,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,23.229000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,24.208,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,23.051,2018
POLLO SIN MENUDENCIA H-C,2018-11-22,22.606,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,23.14,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,73.692,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,46.369,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,118.548,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,23.941,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,24.564,2018
POLLO SIN MENUDENCIA H-C,2018-11-23,24.03,2018
POLLO SIN MENUDENCIA H-C,2018-11-24,23.407,2018
POLLO SIN MENUDENCIA H-C,2018-11-24,22.606,2018
POLLO SIN MENUDENCIA H-C,2018-11-24,23.496,2018
POLLO SIN MENUDENCIA H-C,2018-11-24,21.271,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,40.584,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,21.449,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,22.517,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,22.517,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,20.648,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,41.385,2018
POLLO SIN MENUDENCIA H-C,2018-11-25,22.428,2018
POLLO SIN MENUDENCIA H-C,2018-11-26,22.339,2018
POLLO SIN MENUDENCIA H-C,2018-11-26,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-11-26,20.47,2018
POLLO SIN MENUDENCIA H-C,2018-11-26,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-11-26,19.847,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,25.632,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,20.826,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,21.182,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,22.428,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,42.72,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,21.716,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,42.72,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,20.292,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,22.072000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-11-27,22.428,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,22.339,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,21.894,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,21.538,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,46.369,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,22.072000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,23.674000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,22.161,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,105.287,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,22.695,2018
POLLO SIN MENUDENCIA H-C,2018-11-28,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,20.292,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,100.481,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,41.83,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,27.234,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,19.936,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,21.538,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,20.025,2018
POLLO SIN MENUDENCIA H-C,2018-11-29,21.182,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,19.491,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,19.046,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,21.627,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,21.271,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,20.203,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,20.292,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,19.847,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,20.381,2018
POLLO SIN MENUDENCIA H-C,2018-11-30,40.851,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,87.39800000000001,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,103.507,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,24.208,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,21.538,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,23.407,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,42.631,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,21.983,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,23.763,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,24.386,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,22.161,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,24.208,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,16.109,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,22.873,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,22.428,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,44.767,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,21.093,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,66.661,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,150.944,2018
POLLO SIN MENUDENCIA H-C,2018-12-01,61.41,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,20.915,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,145.782,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,84.372,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,19.936,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,20.915,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,21.004,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,20.915,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-12-03,21.36,2018
